,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.28106,0.26083,1.72505,3.23453,1.93934
1966-01-01,3.43128,0.35152,2.62313,3.23004,2.7734
1971-01-01,3.46453,0.34111,3.11031,3.03883,3.02571
1976-01-01,3.54964,0.29319,3.80126,2.82673,3.37155
1981-01-01,3.8031,0.32112,4.2289,2.74644,3.49336
1986-01-01,3.40885,0.33324,3.66804,2.42614,3.01858
1991-01-01,3.08848,0.38814,2.55497,2.15313,2.00777
1996-01-01,3.14903,0.41672,1.7913,2.19613,1.25512
2001-01-01,2.9281,0.4432,2.07591,2.03125,1.62226
2006-01-01,3.78419,0.47105,1.59753,1.88722,0.17161
2011-01-01,3.85392,0.44981,2.94152,1.5375,1.07491
2016-01-01,3.987,0.48368,3.75375,1.47737,1.7278
2021-01-01,4.03504,0.74357,3.59052,1.31294,1.61199
