,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.15053,0.0179,0.18904,0.15653,0.21294
1966-01-01,0.13873,0.02287,0.21116,0.13469,0.22999
1971-01-01,0.10507,0.01933,0.18329,0.10841,0.20596
1976-01-01,0.09118,0.01414,0.14256,0.10004,0.16556
1981-01-01,0.0949,0.01447,0.16525,0.09104,0.17585
1986-01-01,0.10812,0.01407,0.19763,0.0982,0.20179
1991-01-01,0.08154,0.01348,0.16634,0.07544,0.17373
1996-01-01,0.09565,0.01219,0.15701,0.07078,0.14434
2001-01-01,0.08737,0.01067,0.16336,0.07453,0.16118
2006-01-01,0.08507,0.00935,0.14331,0.08514,0.15273
2011-01-01,0.06193,0.00799,0.1231,0.05473,0.12388
2016-01-01,0.04691,0.00758,0.17445,0.04917,0.18429
2021-01-01,0.05492,0.00739,0.23673,0.04086,0.23006
