,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.45311,0.13569,0.13653,0.44296,0.26207
1966-01-01,0.57364,0.19301,0.20223,0.5049,0.3265
1971-01-01,0.52375,0.20127,0.21825,0.45418,0.34995
1976-01-01,0.55373,0.20231,0.15879,0.48169,0.28905
1981-01-01,0.54427,0.24162,0.23183,0.60114,0.53031
1986-01-01,0.47659,0.2432,0.29096,0.54696,0.60452
1991-01-01,0.50825,0.28362,0.20286,0.62844,0.60667
1996-01-01,0.4878,0.32047,0.18353,0.59612,0.61232
2001-01-01,0.51313,0.32097,0.14923,0.70771,0.66478
2006-01-01,0.46787,0.32044,0.06537,0.67452,0.59245
2011-01-01,0.47422,0.3091,0.1288,0.59577,0.55945
2016-01-01,0.50975,0.32909,0.09575,0.61256,0.52766
2021-01-01,0.37515,0.36735,0.10828,0.6099,0.71038
