,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.46582,0.22332,2.88388,5.32199,2.96336
1966-01-01,5.7017,0.30239,4.3801,5.33338,4.31416
1971-01-01,5.75153,0.29486,5.12174,4.95472,4.61979
1976-01-01,5.7535,0.2579,6.14978,4.6534,5.30758
1981-01-01,6.04124,0.2839,6.76977,4.4386,5.45104
1986-01-01,5.48961,0.29724,5.91768,3.91564,4.64096
1991-01-01,4.95747,0.34344,4.14517,3.51153,3.04267
1996-01-01,4.99081,0.36867,2.86712,3.56087,1.80586
2001-01-01,4.66388,0.386,3.30412,3.33131,2.35755
2006-01-01,5.96531,0.4118,2.54008,3.22274,0.20932
2011-01-01,5.896,0.39003,4.57048,2.79422,1.85873
2016-01-01,6.08748,0.41976,5.78589,2.56159,2.67976
2021-01-01,6.48931,0.43095,5.85157,2.61847,2.41169
