,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.50366,0.06359,3.44866,5.40154,2.41013
1966-01-01,7.43185,0.08585,5.29009,5.13477,3.07887
1971-01-01,7.73779,0.07699,6.5324,5.42998,4.30158
1976-01-01,7.79392,0.06033,8.29221,5.17717,5.7358
1981-01-01,8.81009,0.06324,9.77257,5.2361,6.26182
1986-01-01,9.20487,0.06205,9.36707,4.5824,4.80665
1991-01-01,9.38041,0.06077,7.22743,4.44926,2.35706
1996-01-01,9.39377,0.05704,4.83156,4.43096,-0.0742
2001-01-01,7.90073,0.05368,5.76678,5.07125,2.99097
2006-01-01,12.30816,0.05051,4.4183,5.53841,-2.30093
2011-01-01,12.92468,0.04546,8.414,4.94117,0.47594
2016-01-01,13.64949,0.04591,11.1952,5.53684,3.12846
2021-01-01,13.57684,0.05693,10.49554,6.15472,3.13034
