,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.37304,0.00632,0.55702,0.4836,0.6739
1966-01-01,0.33308,0.00847,0.69962,0.43947,0.81448
1971-01-01,0.29452,0.00769,0.73642,0.39034,0.83993
1976-01-01,0.30448,0.00675,0.64232,0.36429,0.70888
1981-01-01,0.30877,0.00759,0.65056,0.37782,0.7272
1986-01-01,0.25329,0.00797,0.60577,0.39015,0.7506
1991-01-01,0.2408,0.00835,0.6577,0.41085,0.8361
1996-01-01,0.2974,0.00811,0.71164,0.38314,0.80549
2001-01-01,0.29504,0.00772,0.73286,0.44469,0.89023
2006-01-01,0.28207,0.00751,0.65389,0.45944,0.83877
2011-01-01,0.28598,0.00716,0.59807,0.36754,0.6868
2016-01-01,0.27168,0.00722,1.55893,0.21417,1.50865
2021-01-01,0.20744,0.00347,1.38885,0.3442,1.52909
