,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,2.66881,0.0277,1.764,3.04738,2.17027
1966-01-01,2.75356,0.03665,2.94741,2.8097,3.0402
1971-01-01,2.75175,0.03217,3.6693,2.72615,3.67587
1976-01-01,2.87843,0.02534,4.22313,2.45948,3.82952
1981-01-01,3.00848,0.02679,3.81944,2.30482,3.14257
1986-01-01,2.83488,0.02852,3.17743,2.17579,2.54685
1991-01-01,2.69668,0.02914,2.34775,2.33382,2.01404
1996-01-01,2.4689,0.02916,1.49461,2.2003,1.25516
2001-01-01,2.25076,0.02692,1.70952,2.10055,1.58624
2006-01-01,2.67025,0.02592,1.25078,2.09338,0.69983
2011-01-01,2.57983,0.02372,2.14344,1.57473,1.16207
2016-01-01,2.5415,0.02402,2.6206,1.80228,1.90539
2021-01-01,2.83835,0.01743,2.82234,2.02787,2.0293
