,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,1.52336,0.01985,0.25496,1.34092,0.09237
1966-01-01,3.09259,0.02655,1.193,1.4142,-0.45884
1971-01-01,3.66827,0.0201,0.83909,1.52035,-1.28874
1976-01-01,3.82424,0.01408,1.85025,1.6535,-0.3064
1981-01-01,3.74223,0.01412,2.70532,1.43649,0.41371
1986-01-01,4.22592,0.01386,3.24227,1.26704,0.29725
1991-01-01,4.54777,0.01235,2.70808,1.38376,-0.44357
1996-01-01,5.06384,0.01138,3.77484,1.56251,0.28489
2001-01-01,4.19151,0.00993,3.54384,1.80172,1.16397
2006-01-01,5.30735,0.00871,3.20239,2.28595,0.1897
2011-01-01,5.27563,0.00832,3.49522,1.72656,-0.04554
2016-01-01,7.06797,0.00837,5.92574,1.77997,0.64611
2021-01-01,4.82707,0.00765,6.66675,1.78579,3.63311
