,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,2.08185,0.03902,1.56168,2.15369,1.67254
1966-01-01,2.1191,0.05396,2.4543,1.95964,2.3488
1971-01-01,2.11169,0.04942,3.33851,1.84899,3.12522
1976-01-01,2.24958,0.04042,3.59246,1.69494,3.07824
1981-01-01,2.38244,0.04163,3.4543,1.62051,2.73399
1986-01-01,2.36749,0.04293,2.90785,1.55233,2.13563
1991-01-01,2.19111,0.04476,2.0958,1.58109,1.53054
1996-01-01,2.05966,0.04431,1.37762,1.60597,0.96824
2001-01-01,1.86736,0.04328,1.56273,1.4051,1.14375
2006-01-01,2.21916,0.04142,1.14949,1.42072,0.39247
2011-01-01,2.12714,0.03966,1.97518,1.01364,0.90134
2016-01-01,1.9889,0.04025,2.31035,1.16735,1.52904
2021-01-01,1.94823,0.054,2.20453,1.33057,1.64087
