,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.5705,1.10585,2.82323,6.50644,4.86501
1966-01-01,5.7508,1.60802,4.29287,7.00806,7.15815
1971-01-01,5.95719,1.54878,4.89222,6.67089,7.15469
1976-01-01,5.91464,1.31292,6.05636,6.99074,8.44538
1981-01-01,6.43417,1.41337,6.96602,7.43039,9.37561
1986-01-01,6.15491,1.56144,6.31006,7.04844,8.76502
1991-01-01,6.15114,1.66863,4.84678,7.28238,7.64664
1996-01-01,6.01911,1.68386,3.20756,7.4214,6.29371
2001-01-01,5.48229,1.64234,3.61081,8.1251,7.89597
2006-01-01,7.67704,1.67893,2.88348,8.95793,5.84329
2011-01-01,8.03055,1.55794,5.48792,9.51569,8.531
2016-01-01,7.89532,1.66153,6.77294,9.97845,10.51761
2021-01-01,9.06561,1.84945,7.53576,10.70184,11.02144
