,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.4892,0.20589,2.89732,4.91299,3.52699
1966-01-01,4.9586,0.28177,4.54244,4.89608,4.76169
1971-01-01,5.27068,0.26513,5.89768,4.9432,5.83534
1976-01-01,5.8424,0.19919,6.77575,4.58346,5.716
1981-01-01,6.10177,0.20612,7.15091,4.42623,5.68149
1986-01-01,5.4091,0.20943,6.025,3.94116,4.76649
1991-01-01,5.30454,0.23017,4.52106,3.96322,3.40991
1996-01-01,4.8161,0.22593,2.74773,3.63782,1.79536
2001-01-01,4.78794,0.22655,3.38882,3.68679,2.51422
2006-01-01,6.1213,0.22252,2.56252,3.40976,0.07349
2011-01-01,6.60533,0.2076,4.7921,2.83804,1.23242
2016-01-01,6.49543,0.21639,5.99751,2.71976,2.43823
2021-01-01,6.51582,0.20848,5.70337,2.38797,1.784
