"STAID"	"SiteIndex"	"DRAIN_SQKM"	"HUC02"	"LAT_GAGE"	"LNG_GAGE"	"STATE"	"BOUND_SOURCE"	"CLASS"	"AGGECOREGION"	"HYDRO_DISTURB_INDX"	"nobs_TP_2019"	"nobs_TP_2012"	"mean_TP_2019"	"mean_TP_2012"	"nobs_Q"	"nobs_Q_2012"	"nobs_Q_pct"	"nobs_Q_2012_pct"
"02084160"	1289	109	"03"	35.561667	-77.230833	"NC"	4	"Ref"	"SECstPlain"	11	165	165	0.3959	0.3959	12210	9695	83.57	80.43
"0208524090"	1295	20.7	"03"	36.149722	-78.896667	"NC"	1	"Non-ref"	"SEPlains"	15	115	105	0.0722	0.0741	9049	6524	61.94	54.12
"02085500"	1297	384.7	"03"	36.182778	-78.878889	"NC"	1	"Non-ref"	"SEPlains"	17	127	118	0.0711	0.0725	14603	12049	99.95	99.96
"02086849"	1303	56.7	"03"	36.059311	-78.832507	"NC"	4	"Non-ref"	"SEPlains"	21	78	68	2.4458	2.7799	8891	6335	60.86	52.56
"02089500"	1323	7021.5	"03"	35.257778	-77.585556	"NC"	4	"Non-ref"	"SEPlains"	25	447	320	0.1243	0.1261	14610	12054	100	100
"02091500"	1326	1908.6	"03"	35.428889	-77.5825	"NC"	4	"Non-ref"	"SEPlains"	16	423	259	0.1367	0.1496	14608	12052	99.99	99.98
"02096846"	1347	19.6	"03"	35.987222	-79.206111	"NC"	1	"Ref"	"SEPlains"	10	167	133	0.0716	0.076	10754	8226	73.61	68.24
"02096960"	1348	3297.8	"03"	35.765278	-79.135833	"NC"	1	"Non-ref"	"SEPlains"	23	125	122	0.2339	0.2301	14610	12054	100	100
"02097464"	1354	21.5	"03"	35.923611	-79.115	"NC"	4	"Non-ref"	"SEPlains"	13	199	163	0.1236	0.1354	11028	8487	75.48	70.41
"02102000"	1366	3740	"03"	35.626944	-79.116111	"NC"	1	"Non-ref"	"SEPlains"	21	86	86	0.2264	0.2264	14610	12054	100	100
"02105769"	1374	13659.7	"03"	34.404444	-78.293611	"NC"	1	"Non-ref"	"SEPlains"	24	77	77	0.1862	0.1862	14608	12054	99.99	100
"02116500"	1400	5902.2	"03"	35.856667	-80.386944	"NC"	1	"Non-ref"	"SEPlains"	24	73	73	0.2099	0.2099	14604	12048	99.96	99.95
"02131000"	1430	22841.3	"03"	34.204325	-79.54839	"SC"	1	"Non-ref"	"SEPlains"	29	86	86	0.0837	0.0837	14607	12052	99.98	99.98
"02136000"	1446	3211.4	"03"	33.661275	-79.835904	"SC"	1	"Non-ref"	"SEPlains"	17	77	77	0.1171	0.1171	14610	12054	100	100
"02198500"	1630	25530.8	"03"	32.528237	-81.268716	"SC"	1	"Non-ref"	"SEPlains"	25	310	310	0.1063	0.1063	14599	12044	99.92	99.92
"02203000"	1637	1450.1	"03"	32.184914	-81.888726	"GA"	4	"Non-ref"	"SEPlains"	15	123	123	0.0872	0.0872	14610	12054	100	100
