"STAID"	"SiteIndex"	"DRAIN_SQKM"	"HUC02"	"LAT_GAGE"	"LNG_GAGE"	"STATE"	"BOUND_SOURCE"	"CLASS"	"AGGECOREGION"	"HYDRO_DISTURB_INDX"	"nobs_TP_2019"	"nobs_TP_2012"	"mean_TP_2019"	"mean_TP_2012"	"nobs_Q"	"nobs_Q_2012"	"nobs_Q_pct"	"nobs_Q_2012_pct"
"03345500"	2945	3944.6	"05"	38.936433	-88.022535	"IL"	3	"Non-ref"	"CntlPlains"	20	104	104	0.1787	0.1787	14610	12054	100	100
"03346000"	2946	814.7	"05"	39.010042	-87.945588	"IL"	3	"Ref"	"SEPlains"	14	97	97	0.1479	0.1479	14595	12039	99.9	99.88
"03354000"	2986	6324.6	"05"	39.497548	-86.40055	"IN"	4	"Non-ref"	"CntlPlains"	30	77	77	0.5047	0.5047	14610	12054	100	100
"03378000"	3036	590.5	"05"	38.386437	-87.975588	"IL"	1	"Non-ref"	"SEPlains"	11	103	103	0.2055	0.2055	13963	11423	95.57	94.77
"03378635"	3038	622	"05"	39.103931	-88.594218	"IL"	1	"Non-ref"	"SEPlains"	20	99	99	0.1628	0.1628	13941	11391	95.42	94.5
"03379500"	3039	2928.7	"05"	38.63477	-88.297266	"IL"	1	"Non-ref"	"SEPlains"	22	107	107	0.2588	0.2588	14610	12054	100	100
"03380500"	3041	1204.3	"05"	38.356993	-88.583386	"IL"	1	"Non-ref"	"SEPlains"	16	105	105	0.1319	0.1319	14381	11825	98.43	98.1
"03466208"	3141	203.1	"06"	36.20594	-82.65043	"TN"	1	"Non-ref"	"EastHghlnds"	12	144	144	0.1081	0.1081	8188	5904	56.04	48.98
"03467609"	3145	4373.1	"06"	36.126337	-83.175304	"TN"	4	"Non-ref"	"EastHghlnds"	14	85	85	0.0764	0.0764	8534	5978	58.41	49.59
"03575100"	3250	968.6	"06"	34.749257	-86.446655	"AL"	4	"Non-ref"	"SEPlains"	17	99	99	0.0772	0.0772	7762	5206	53.13	43.19
"03612000"	3299	632	"05"	37.336441	-88.923955	"IL"	1	"Non-ref"	"SEPlains"	13	105	105	0.1525	0.1525	14601	12045	99.94	99.93
"04027000"	3312	1619.8	"04"	46.486614	-90.696297	"WI"	3	"Ref"	"MxWdShld"	7	116	59	0.1272	0.141	14610	12054	100	100
"04072150"	3381	280.7	"04"	44.535833	-88.129722	"WI"	1	"Non-ref"	"CntlPlains"	13	465	465	0.2122	0.2122	10775	8651	73.75	71.77
"04073462"	3383	6.2	"04"	43.816093	-88.928446	"WI"	1	"Ref"	"CntlPlains"	10	794	725	0.1751	0.1758	10896	8340	74.58	69.19
"04073468"	3384	149.5	"04"	43.824426	-88.926779	"WI"	1	"Non-ref"	"CntlPlains"	17	1530	1405	0.1463	0.1503	10298	9296	70.49	77.12
"04073500"	3386	3416.4	"04"	43.95387	-88.952614	"WI"	1	"Non-ref"	"CntlPlains"	19	84	84	0.0989	0.0989	14607	12054	99.98	100
"040851385"	3403	16449.8	"04"	44.528604	-88.010104	"WI"	1	"Non-ref"	"CntlPlains"	23	245	147	0.1251	0.1335	11381	8827	77.9	73.23
"04085427"	3406	1344.2	"04"	44.107217	-87.715364	"WI"	1	"Non-ref"	"CntlPlains"	18	287	199	0.2476	0.2619	14183	11627	97.08	96.46
"04086000"	3407	1100.4	"04"	43.741662	-87.753975	"WI"	1	"Non-ref"	"CntlPlains"	24	85	74	0.2779	0.2695	14607	12054	99.98	100
"04087000"	3410	1805.2	"04"	43.100012	-87.908974	"WI"	4	"Non-ref"	"CntlPlains"	19	311	311	0.1359	0.1359	14610	12054	100	100
"04087030"	3411	87.9	"04"	43.172786	-88.10398	"WI"	4	"Non-ref"	"CntlPlains"	15	125	113	0.1323	0.1317	14610	12054	100	100
"04087088"	3414	46.7	"04"	43.054734	-88.0462	"WI"	1	"Non-ref"	"CntlPlains"	20	128	117	0.1919	0.1763	14428	11872	98.75	98.49
"04087120"	3416	320.6	"04"	43.045569	-87.999809	"WI"	1	"Non-ref"	"CntlPlains"	21	304	294	0.1811	0.179	14610	12054	100	100
"04087159"	3419	47.9	"04"	42.997515	-87.926474	"WI"	1	"Non-ref"	"CntlPlains"	24	73	73	0.2348	0.2348	13606	11050	93.13	91.67
"04116000"	3485	7448.1	"04"	42.971977	-85.069172	"MI"	1	"Non-ref"	"CntlPlains"	20	76	72	0.1095	0.1104	14610	12054	100	100
"04142000"	3544	865	"04"	44.07252	-84.019994	"MI"	1	"Non-ref"	"MxWdShld"	16	105	59	0.0784	0.0831	14610	12054	100	100
"04145000"	3548	1584.1	"04"	43.254748	-84.105532	"MI"	3	"Non-ref"	"CntlPlains"	19	78	75	0.0785	0.0781	7576	7576	51.85	62.85
"04161820"	3582	802.8	"04"	42.614478	-83.026593	"MI"	4	"Non-ref"	"CntlPlains"	25	247	95	0.078	0.0744	8676	6120	59.38	50.77
"04166500"	3593	476	"04"	42.372259	-83.255485	"MI"	1	"Non-ref"	"CntlPlains"	23	159	41	0.1338	0.1488	14610	12054	100	100
"04176500"	3608	2686	"04"	41.960601	-83.531046	"MI"	1	"Non-ref"	"CntlPlains"	27	206	101	0.1343	0.137	14610	12054	100	100
"04178000"	3612	1600.2	"04"	41.385328	-84.801626	"OH"	4	"Non-ref"	"CntlPlains"	22	253	83	0.1923	0.1481	14610	12054	100	100
"04182000"	3620	1849.1	"04"	40.987826	-85.111914	"IN"	1	"Non-ref"	"CntlPlains"	22	208	0	0.4718	NA	14610	12054	100	100
