,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.00115,0.00636,0.00074,0.00141,0.00736
1966-01-01,0.00102,0.00815,0.00104,0.00114,0.00931
1971-01-01,0.0007,0.0079,0.00104,0.00095,0.00919
1976-01-01,0.00074,0.00674,0.00163,0.00062,0.00825
1981-01-01,0.00081,0.00722,0.00116,0.0005,0.00807
1986-01-01,0.00088,0.00752,0.0009,0.00047,0.00802
1991-01-01,0.00063,0.00856,0.00071,0.00032,0.00895
1996-01-01,0.00073,0.00848,0.00042,0.00042,0.00859
2001-01-01,0.00038,0.00813,0.00046,0.00017,0.00838
2006-01-01,0.00065,0.00827,0.00039,0.00022,0.00823
2011-01-01,0.00052,0.00761,0.00059,0.0002,0.00788
2016-01-01,0.00042,0.00918,0.00066,1e-04,0.00952
2021-01-01,0.00079,0.01401,0.00108,0.0004,0.0147
