,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.83758,1.78826,1.99565,4.25235,4.19869
1966-01-01,3.98401,3.46414,3.00273,3.84119,6.32406
1971-01-01,3.64849,7.69882,3.15108,3.17804,10.37944
1976-01-01,3.44918,7.16244,3.5224,2.60704,9.84271
1981-01-01,3.3954,8.75552,3.69394,2.28373,11.33779
1986-01-01,3.28525,9.72582,3.37178,2.15565,11.968
1991-01-01,2.97921,11.02123,2.336,2.24751,12.62554
1996-01-01,2.87585,11.74625,1.55715,2.05922,12.48677
2001-01-01,2.29902,12.60457,1.57688,2.22733,14.10976
2006-01-01,2.88791,13.24666,1.11359,1.47035,12.94268
2011-01-01,2.9746,13.6848,2.07761,1.21746,14.00528
2016-01-01,2.77214,14.53672,2.44905,0.98935,15.20298
2021-01-01,3.65698,15.05284,2.98967,1.18149,15.56703
