,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.53361,0.02708,0.15096,0.52239,0.16682
1966-01-01,0.67893,0.03851,0.22665,0.59438,0.18062
1971-01-01,0.63189,0.04172,0.14967,0.49277,0.05227
1976-01-01,0.64854,0.04264,0.14742,0.51246,0.05398
1981-01-01,0.64719,0.05062,0.20798,0.75349,0.3649
1986-01-01,0.57207,0.05043,0.27651,0.68921,0.44408
1991-01-01,0.59127,0.05561,0.20052,0.8155,0.48037
1996-01-01,0.57589,0.06131,0.15941,0.77677,0.4216
2001-01-01,0.62997,0.05814,0.17048,0.9288,0.52746
2006-01-01,0.61408,0.0583,0.07233,1.01116,0.52771
2011-01-01,0.68725,0.05307,0.13439,0.93365,0.43387
2016-01-01,0.76801,0.05511,0.11899,0.99063,0.39671
2021-01-01,0.60914,0.0463,0.13856,1.15114,0.72686
