,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.84335,0.56284,3.39885,3.71476,0.8331
1966-01-01,7.56342,0.77933,5.12416,2.85237,1.19244
1971-01-01,7.28897,0.71578,6.0834,1.95569,1.4659
1976-01-01,7.24358,0.53846,7.66712,1.72963,2.69162
1981-01-01,8.12198,0.55476,9.30545,1.68803,3.42626
1986-01-01,8.39564,0.54224,8.60992,1.24811,2.00464
1991-01-01,8.88371,0.53575,6.70555,1.20252,-0.43989
1996-01-01,9.28423,0.53786,4.64066,1.18678,-2.91892
2001-01-01,7.45681,0.58519,5.52116,1.45805,0.10759
2006-01-01,11.951,0.57061,4.25817,1.26195,-5.86026
2011-01-01,12.49215,0.52179,8.04034,1.05366,-2.87636
2016-01-01,13.82674,0.53508,11.40128,0.79749,-1.09289
2021-01-01,14.00305,0.47248,10.95492,0.83123,-1.74442
