,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.98331,0.2184,0.62033,0.78973,0.64514
1966-01-01,0.88383,0.26609,1.09674,0.69114,1.17014
1971-01-01,0.67994,0.25631,1.16076,0.48717,1.22429
1976-01-01,0.83097,0.12989,1.86152,0.48339,1.64383
1981-01-01,0.77997,0.87535,1.36731,0.35652,1.81921
1986-01-01,0.98945,0.79126,1.3185,0.43347,1.55379
1991-01-01,0.67694,0.79963,0.95167,0.25929,1.33366
1996-01-01,0.73632,0.76404,0.51602,0.35504,0.89878
2001-01-01,0.71659,0.70682,0.60891,0.36845,0.96758
2006-01-01,0.74278,0.65722,0.39884,0.28719,0.60047
2011-01-01,0.56853,0.63253,0.6058,0.23419,0.90399
2016-01-01,0.58081,0.63764,0.75964,0.18128,0.99775
2021-01-01,0.58191,0.72565,0.79231,0.20759,1.14364
