,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.7437,3.22422,2.65188,4.90892,6.04132
1966-01-01,5.42082,4.61754,3.96303,4.97125,8.131
1971-01-01,5.92832,4.4152,4.87589,5.10765,8.47042
1976-01-01,5.97356,3.5305,5.92364,5.18557,8.66614
1981-01-01,6.52239,3.78348,6.82862,5.40855,9.49826
1986-01-01,6.51179,3.83379,6.5113,4.68568,8.51898
1991-01-01,6.83566,4.09062,4.91766,4.61739,6.79001
1996-01-01,6.65635,4.02493,3.28205,4.35647,5.00709
2001-01-01,5.6375,3.96894,3.63847,5.05744,7.02734
2006-01-01,8.33609,3.82446,2.84318,5.98001,4.31156
2011-01-01,8.93345,3.73932,5.44403,5.1033,5.35319
2016-01-01,9.36541,3.87914,7.27431,5.54567,7.33371
2021-01-01,10.19321,4.31251,7.30238,7.32031,8.74198
