,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.06019,0.56559,0.0332,0.03968,0.57827
1966-01-01,0.06595,0.66636,0.06286,0.04552,0.70879
1971-01-01,0.06236,0.55622,0.07672,0.04108,0.61166
1976-01-01,0.07208,0.38834,0.10811,0.04537,0.46974
1981-01-01,0.08788,0.37557,0.11571,0.04451,0.44791
1986-01-01,0.08147,0.35662,0.09163,0.04004,0.40682
1991-01-01,0.07661,0.32821,0.07073,0.04283,0.36517
1996-01-01,0.07461,0.29902,0.04871,0.04746,0.32058
2001-01-01,0.07919,0.25653,0.05783,0.05102,0.2862
2006-01-01,0.08642,0.22977,0.04353,0.04658,0.23345
2011-01-01,0.07979,0.20968,0.0773,0.03665,0.24384
2016-01-01,0.08178,0.20722,0.09549,0.03244,0.25336
2021-01-01,0.07116,0.24547,0.08435,0.02601,0.28466
