,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,7.03051,0.25201,3.69522,6.95488,3.87161
1966-01-01,7.35012,0.34185,5.61703,6.92515,5.5339
1971-01-01,7.40274,0.33477,6.63872,6.49087,6.06163
1976-01-01,7.56843,0.28957,8.09604,6.0211,6.8383
1981-01-01,8.09252,0.31941,8.99491,5.83668,7.05847
1986-01-01,7.26587,0.3331,7.81,5.16101,6.03824
1991-01-01,6.57822,0.38728,5.43688,4.59349,3.83944
1996-01-01,6.69904,0.41601,3.80753,4.6745,2.19899
2001-01-01,6.2125,0.4428,4.40186,4.33882,2.97098
2006-01-01,8.02401,0.47104,3.38283,4.00646,-0.16368
2011-01-01,8.16978,0.45137,6.22796,3.26856,1.77811
2016-01-01,8.43775,0.48516,7.93751,3.12937,3.11429
2021-01-01,9.15096,0.41844,8.1321,2.98774,2.38732
