,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.22411,0.02893,0.11418,0.18658,0.10558
1966-01-01,0.25292,0.03563,0.19806,0.20235,0.18311
1971-01-01,0.22271,0.0284,0.23856,0.17153,0.21579
1976-01-01,0.24589,0.02019,0.34084,0.17758,0.29272
1981-01-01,0.27352,0.02014,0.34401,0.16115,0.25178
1986-01-01,0.26503,0.01963,0.31835,0.14759,0.22055
1991-01-01,0.23834,0.01949,0.27351,0.15162,0.20628
1996-01-01,0.26024,0.01823,0.21461,0.15883,0.13143
2001-01-01,0.24367,0.01593,0.203,0.16971,0.14497
2006-01-01,0.26688,0.01438,0.15355,0.16631,0.06735
2011-01-01,0.24042,0.01333,0.26905,0.13454,0.1765
2016-01-01,0.24607,0.0134,0.28795,0.08743,0.1427
2021-01-01,0.22955,0.01333,0.28484,0.1114,0.18001
