,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.45186,0.13567,0.13618,0.44174,0.26172
1966-01-01,0.57205,0.19298,0.2017,0.50351,0.32614
1971-01-01,0.52233,0.20122,0.21689,0.45291,0.34869
1976-01-01,0.55224,0.20226,0.15818,0.48032,0.28852
1981-01-01,0.54248,0.24157,0.23078,0.59953,0.5294
1986-01-01,0.47503,0.24315,0.28969,0.54554,0.60335
1991-01-01,0.5067,0.28357,0.2022,0.62698,0.60604
1996-01-01,0.48623,0.32041,0.18288,0.59458,0.61164
2001-01-01,0.51155,0.32092,0.14866,0.70581,0.66384
2006-01-01,0.46636,0.3204,0.06509,0.6729,0.59203
2011-01-01,0.47305,0.30906,0.12829,0.59473,0.55902
2016-01-01,0.50857,0.32906,0.09533,0.61144,0.52726
2021-01-01,0.37434,0.36722,0.1079,0.60905,0.70983
