,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.38632,0.0461,3.2509,7.09551,4.00619
1966-01-01,6.58893,0.06576,4.93659,7.68122,6.09463
1971-01-01,6.8382,0.063,5.64795,7.36032,6.23308
1976-01-01,6.72164,0.05413,6.9266,7.73808,7.99717
1981-01-01,7.276,0.05842,7.94758,8.21544,8.94545
1986-01-01,6.9519,0.06521,7.20216,7.73131,8.04679
1991-01-01,6.9421,0.06917,5.53859,7.97304,6.6387
1996-01-01,6.80301,0.06982,3.67204,8.25294,5.19178
2001-01-01,6.26278,0.06693,4.15258,8.98819,6.94492
2006-01-01,8.81074,0.06897,3.35022,10.1014,4.70985
2011-01-01,9.22654,0.06238,6.36881,10.92333,8.12798
2016-01-01,9.11309,0.0667,7.86612,11.35341,10.17315
2021-01-01,10.91466,0.07095,9.11387,12.84758,11.11775
