LakeID,n_year_epiTP,n_year_hypoTP,n_year_hypoDO,LakeName,Country,StateOrProvince,Latitude_DD,Longitude_DD,MaximumDepth_m,MeanDepth_m,SurfaceArea_ha,Elevation_m,hylak_id,Available?,Region?
30,19,19,20,Fish Lake,USA,Wisconsin,43.2872,-89.6531,18.9,4.3,87.4,260,1048799,yes,drainage_region_0001_v2-1
135,17,0,13,Keesus,USA,Wisconsin,43.1692,-88.32,12.8,4.4,95.1,292,1049068,yes,drainage_region_0001_v2-1
136,16,0,6,Mary,USA,Wisconsin,42.5233,-88.2567,10.06,4.1,132.3,239,111284,yes,drainage_region_0001_v2-1
WI-363064,16,0,13,Bullhead Lake,USA,Wisconsin,44.1036087,-88.037508,12.192,3.9624,28.13377072,247,1046483,no,
WI-673202,15,0,16,Friess Lake,USA,Wisconsin,43.2449912,-88.276667,14.6304,8.2296,49.15316156,297,1048885,yes,drainage_region_0001_v2-1
WI-493122,14,0,5,Bear Trap Lake,USA,Wisconsin,45.314163,-92.4102876,7.62,5.1816,100.1395507,312,109100,yes,drainage_region_0001_v2-1
WI-563057,14,1,5,Cedar Lake,USA,Wisconsin,45.21333,-92.57195,9.7536,6.7,453.38591324,280,109253,yes,drainage_region_0001_v2-1
WI-573124,14,0,5,Lake Redstone,USA,Wisconsin,43.5886,-90.08669,11.1252,4.2672,256.9958443,279,110902,yes,drainage_region_0001_v2-1
WI-653126,14,0,2,Whitewater Lake,USA,Wisconsin,42.76,-88.700005,10.668,6.1,253.00564034,266,111201,yes,drainage_region_0001_v2-1
WI-493126,13,1,10,Bone Lake,USA,Wisconsin,45.545508,-92.388779,13.1064,7.0104,674.44564074,350,108829,yes,drainage_region_0001_v2-1
WI-493131,13,0,6,Wapogasset Lake,USA,Wisconsin,45.319435,-92.42612,9.7536,5.1816,481.09476366,312,109100,yes,drainage_region_0001_v2-1
WI-593072,13,0,8,Shawano Lake,USA,Wisconsin,44.8088844,-88.5183418,12.0396,2.7432,2515.27322382,243,8939,yes,drainage_region_0003_v2-1
WI-673120,13,0,14,Druid Lake,USA,Wisconsin,43.2783303,-88.4080627,16.1544,7.62,49.5335664,298,1048826,yes,drainage_region_0001_v2-1
WI-673123,13,0,13,Pike Lake,USA,Wisconsin,43.3119424,-88.3327805,13.716,3.4,186.55215228,304,111013,yes,drainage_region_0001_v2-1
WI-373390,12,0,9,Pike Lake,USA,Wisconsin,44.8161026,-89.3461117,10.3632,3.9624,82.42644448,374,1042849,yes,drainage_region_0001_v2-1
WI-443140,12,1,0,Pelican Lake,USA,Wisconsin,45.502777,-89.19528,11.8872,4.5,1434.52688594,483,8826,yes,drainage_region_0001_v2-1
WI-493105,12,0,12,North Pipe Lake,USA,Wisconsin,45.5330533,-92.1991722,11.2776,NA,26.08605956,377,NA,,
WI-643451,12,0,11,Kentuck Lake,USA,Wisconsin,45.992214,-88.98723,12.192,3.9624,405.14329518,520,108132,yes,drainage_region_0003_v2-1
