,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.97698,0.02533,0.13989,0.71466,-0.09709
1966-01-01,2.5039,0.03125,0.75531,0.71149,-1.00584
1971-01-01,2.74102,0.02456,0.31508,0.77923,-1.62214
1976-01-01,2.88136,0.017,1.00291,0.76356,-1.09789
1981-01-01,2.87359,0.01797,1.66436,0.50219,-0.68907
1986-01-01,3.6392,0.01752,2.10355,0.53983,-0.97829
1991-01-01,3.75555,0.01547,1.59381,0.63748,-1.50878
1996-01-01,4.18624,0.01428,2.48178,0.76606,-0.92412
2001-01-01,3.05933,0.01286,2.37308,0.80933,0.13595
2006-01-01,4.08464,0.01132,2.19292,0.98894,-0.89146
2011-01-01,4.59034,0.01041,2.42946,0.71323,-1.43724
2016-01-01,5.43132,0.01022,3.31171,0.61767,-1.49172
2021-01-01,3.28889,0.00917,3.97693,0.74322,1.44042
