,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.11216,0.15889,2.12421,5.21577,3.38671
1966-01-01,4.1522,0.22322,3.1085,5.48621,4.66572
1971-01-01,4.36213,0.19743,3.6738,4.93795,4.44706
1976-01-01,4.16477,0.15263,4.36663,4.57951,4.93399
1981-01-01,4.59946,0.15836,4.96316,4.82603,5.3481
1986-01-01,4.35803,0.16013,4.34473,4.4047,4.55152
1991-01-01,4.24283,0.16512,3.23527,4.46366,3.62122
1996-01-01,4.25149,0.16208,2.21014,5.13592,3.25665
2001-01-01,3.73443,0.16056,2.47543,5.02781,3.92938
2006-01-01,5.20077,0.15522,1.91535,4.84453,1.71433
2011-01-01,5.46502,0.14802,3.61968,4.34629,2.64898
2016-01-01,5.53081,0.15408,4.6769,4.21876,3.51892
2021-01-01,5.91055,0.17251,4.80274,4.42388,3.48858
