,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.17384,0.7333,2.69083,6.82352,5.07381
1966-01-01,5.18372,1.02776,3.88399,7.09967,6.8277
1971-01-01,5.46399,0.89878,4.64206,6.24168,6.31852
1976-01-01,5.1469,0.6844,5.43777,5.49527,6.47054
1981-01-01,5.71028,0.70575,6.14354,5.74421,6.88322
1986-01-01,5.407,0.69896,5.3207,5.19902,5.81168
1991-01-01,5.19717,0.71656,3.90175,5.2128,4.63394
1996-01-01,5.25152,0.69914,2.6982,6.26661,4.41243
2001-01-01,4.53042,0.69749,3.00851,5.84237,5.01795
2006-01-01,6.26222,0.66495,2.28442,5.1891,1.87624
2011-01-01,6.56413,0.64153,4.28976,4.08497,2.45213
2016-01-01,6.71527,0.6639,5.64831,3.70957,3.30651
2021-01-01,6.83178,0.65593,5.50557,3.89099,3.2207
