,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,2.08128,0.1595,1.72015,2.2427,2.04107
1966-01-01,2.79441,0.20345,3.04808,2.27583,2.73296
1971-01-01,2.86274,0.18319,3.30592,1.94531,2.57167
1976-01-01,4.09838,0.12269,4.88112,2.47575,3.38119
1981-01-01,4.34537,0.12594,5.58963,2.49669,3.86689
1986-01-01,4.22692,0.13133,4.8402,2.43203,3.17664
1991-01-01,4.11306,0.1351,3.57267,2.43494,2.02965
1996-01-01,4.29809,0.13175,2.5202,2.44889,0.80276
2001-01-01,3.75267,0.1218,2.92468,2.50123,1.79504
2006-01-01,5.7984,0.12003,2.26358,2.93876,-0.47602
2011-01-01,6.31463,0.10726,4.24026,3.11496,1.14784
2016-01-01,6.0379,0.10791,5.45193,3.19076,2.7127
2021-01-01,5.91573,0.14458,4.98272,2.811,2.02257
