,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.14958,0.00181,0.07454,0.14399,0.07077
1966-01-01,0.17921,0.00281,0.10126,0.16731,0.09217
1971-01-01,0.21421,0.00352,0.14296,0.18582,0.1181
1976-01-01,0.22862,0.00319,0.13138,0.19971,0.10566
1981-01-01,0.23774,0.00362,0.15642,0.21294,0.13525
1986-01-01,0.21758,0.00338,0.16935,0.19096,0.14612
1991-01-01,0.20731,0.00357,0.12261,0.19385,0.11271
1996-01-01,0.23617,0.00388,0.1185,0.22191,0.10812
2001-01-01,0.22138,0.00359,0.09552,0.22171,0.09945
2006-01-01,0.23623,0.00345,0.04977,0.24367,0.06066
2011-01-01,0.2025,0.00318,0.08165,0.18725,0.06959
2016-01-01,0.24174,0.00328,0.07933,0.23726,0.07812
2021-01-01,0.17032,0.01364,0.0954,0.17088,0.1096
