,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.03039,0.02278,0.01847,0.02719,0.03805
1966-01-01,0.03193,0.03001,0.03394,0.0263,0.05832
1971-01-01,0.02769,0.02584,0.03434,0.02472,0.05722
1976-01-01,0.03045,0.01983,0.05481,0.02582,0.07
1981-01-01,0.03134,0.02088,0.04022,0.02286,0.05262
1986-01-01,0.03096,0.02059,0.03262,0.02255,0.0448
1991-01-01,0.02473,0.01984,0.02149,0.02154,0.03814
1996-01-01,0.02168,0.01847,0.01323,0.0197,0.02972
2001-01-01,0.01938,0.01657,0.01506,0.01707,0.02933
2006-01-01,0.02293,0.01524,0.01184,0.01687,0.02103
2011-01-01,0.02265,0.01385,0.02144,0.01437,0.02701
2016-01-01,0.02015,0.01382,0.02451,0.01529,0.03347
2021-01-01,0.01586,0.01401,0.02001,0.01454,0.03271
