,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.14633,0.31393,2.25802,4.59184,3.01745
1966-01-01,4.18444,0.44121,3.37723,4.30494,3.93893
1971-01-01,4.21353,0.54609,3.97729,3.81818,4.12803
1976-01-01,4.17754,0.45449,4.52141,3.30233,4.10069
1981-01-01,4.48056,0.52511,4.96894,3.25567,4.26916
1986-01-01,4.01291,0.63259,4.25875,2.81994,3.69837
1991-01-01,3.76511,0.78091,3.06138,2.6114,2.68857
1996-01-01,3.67038,0.84125,2.03847,2.57892,1.78826
2001-01-01,3.26101,0.8826,2.27896,2.38868,2.28923
2006-01-01,4.20913,0.98594,1.70531,2.20679,0.6889
2011-01-01,4.08948,0.98644,3.00345,1.86129,1.7617
2016-01-01,4.1514,1.05911,3.79813,1.64868,2.35452
2021-01-01,4.28007,1.16303,3.70108,1.49811,2.08216
