,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.57053,0.84537,2.87653,6.20348,4.35485
1966-01-01,5.76716,1.49878,4.35354,5.91734,6.0025
1971-01-01,5.42694,1.86551,4.6515,5.02676,6.11682
1976-01-01,5.21741,1.87168,5.3801,4.44754,6.48191
1981-01-01,5.33752,2.35063,5.82429,4.10432,6.94172
1986-01-01,5.08332,2.67057,5.2178,3.92357,6.72862
1991-01-01,4.77991,3.08962,3.76396,4.00134,6.07501
1996-01-01,4.62573,3.32436,2.49821,3.6773,4.87414
2001-01-01,3.87987,3.51678,2.63397,3.89542,6.1663
2006-01-01,5.01149,3.82225,1.92113,3.33138,4.06326
2011-01-01,5.05498,3.89612,3.53646,3.05253,5.43013
2016-01-01,4.76501,4.1693,4.19957,2.83001,6.43388
2021-01-01,5.76342,4.58828,4.79893,3.15263,6.77642
