,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.82412,0.44186,3.22204,7.23306,5.07283
1966-01-01,6.57387,0.60079,5.11925,7.42213,6.5683
1971-01-01,7.22491,0.53424,6.04745,7.2877,6.64448
1976-01-01,7.93091,0.41386,7.94934,7.21197,7.64427
1981-01-01,8.57114,0.42851,9.20022,7.55748,8.61508
1986-01-01,8.70627,0.42965,8.5745,7.34018,7.63806
1991-01-01,9.07143,0.44854,6.54798,7.12028,5.04537
1996-01-01,9.04181,0.44066,4.4408,7.24343,3.08307
2001-01-01,7.8705,0.39823,5.07859,9.28772,6.89404
2006-01-01,11.30652,0.39717,3.85627,10.16603,3.11296
2011-01-01,11.70773,0.35888,7.11781,9.96219,5.73115
2016-01-01,12.84411,0.3744,10.00901,11.76322,9.30252
2021-01-01,13.61889,0.41146,9.91534,12.68216,9.39007
