,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,8.04699,0.05327,4.11479,8.9001,5.02116
1966-01-01,8.61924,0.06894,6.23118,9.27,6.95088
1971-01-01,9.63473,0.05659,7.65065,9.3588,7.4313
1976-01-01,9.73282,0.04448,9.73185,9.23687,9.28038
1981-01-01,10.55428,0.04563,11.12242,9.83062,10.4444
1986-01-01,9.94572,0.04488,10.37862,8.67136,9.14914
1991-01-01,10.74637,0.04495,7.97845,9.00316,6.28019
1996-01-01,10.61659,0.04325,5.29844,9.77423,4.49932
2001-01-01,9.55216,0.03986,6.10815,12.81979,9.41563
2006-01-01,13.65243,0.0377,4.74827,14.10165,5.23518
2011-01-01,14.61466,0.03367,9.16534,12.647,7.23135
2016-01-01,15.31067,0.03382,12.19003,14.64934,11.56252
2021-01-01,15.0987,0.0385,11.26124,14.88662,11.08765
