,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.50699,0.22831,3.42489,6.32382,3.47002
1966-01-01,6.78909,0.31076,5.19937,6.34392,5.06496
1971-01-01,6.84099,0.30463,6.06569,5.87506,5.40439
1976-01-01,6.81354,0.27137,7.26813,5.51393,6.2399
1981-01-01,7.15465,0.3003,8.01512,5.23691,6.39768
1986-01-01,6.50641,0.31725,7.01514,4.61396,5.43994
1991-01-01,5.8711,0.36359,4.91081,4.12412,3.52742
1996-01-01,5.91848,0.39024,3.39986,4.17221,2.04383
2001-01-01,5.52982,0.40204,3.91562,3.89895,2.68679
2006-01-01,7.08516,0.43058,3.01166,3.76791,0.12499
2011-01-01,7.00044,0.40435,5.4206,3.29904,2.12354
2016-01-01,7.21875,0.43557,6.84857,2.97008,3.03547
2021-01-01,7.7483,0.42478,6.97444,3.10365,2.75457
