,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.30793,0.63809,3.37186,7.28678,4.98881
1966-01-01,6.31099,0.99917,4.98415,6.75371,6.42604
1971-01-01,6.33452,1.57879,5.69967,5.83539,6.77934
1976-01-01,6.29066,1.27454,6.62222,5.00712,6.61321
1981-01-01,6.74711,1.55102,7.29836,4.96769,7.06996
1986-01-01,6.03184,2.09627,6.25459,4.24367,6.56268
1991-01-01,5.71804,2.66888,4.50154,3.97804,5.43041
1996-01-01,5.44984,2.87612,2.9091,3.85054,4.18592
2001-01-01,4.76218,2.98846,3.23034,3.54942,5.00605
2006-01-01,6.18255,3.42349,2.37335,3.23387,2.84815
2011-01-01,5.89264,3.51947,4.09802,2.74591,4.47077
2016-01-01,5.94794,3.77351,5.18806,2.34112,5.35475
2021-01-01,5.742,3.91173,4.67917,1.90966,4.75856
