,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,6.51885,0.17209,3.43827,6.16682,3.25832
1966-01-01,6.77904,0.23938,5.20838,6.25403,4.92276
1971-01-01,6.8289,0.2386,5.94317,5.66973,5.0226
1976-01-01,6.51097,0.23567,6.90894,5.41778,6.05143
1981-01-01,6.61923,0.26561,7.51713,4.96846,6.13196
1986-01-01,6.16894,0.29283,6.68226,4.35886,5.16501
1991-01-01,5.52745,0.3214,4.71604,3.92514,3.43514
1996-01-01,5.47096,0.34436,3.2005,3.92713,2.00104
2001-01-01,5.17309,0.32039,3.65792,3.7186,2.52383
2006-01-01,6.5334,0.35135,2.81575,3.85367,0.48737
2011-01-01,6.10463,0.30948,4.86599,3.72215,2.79298
2016-01-01,6.2705,0.33575,6.04423,3.07659,3.18607
2021-01-01,6.58478,0.39352,6.06973,3.58742,3.46589
