,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,5.88473,0.31144,3.03439,7.09965,4.56074
1966-01-01,5.86151,0.47445,4.47065,6.59769,5.68129
1971-01-01,5.68732,1.12314,5.03123,5.21618,5.68323
1976-01-01,5.97133,1.00236,6.2537,4.54451,5.82925
1981-01-01,6.39613,1.24672,6.85896,4.47959,6.18914
1986-01-01,5.54303,1.81119,5.63728,3.36665,5.27208
1991-01-01,5.0503,2.38353,3.92963,2.9679,4.23075
1996-01-01,4.85247,2.59179,2.51953,2.82374,3.08258
2001-01-01,4.0279,2.71518,2.7015,2.70445,4.09323
2006-01-01,4.96231,3.19346,1.87567,2.28791,2.39472
2011-01-01,4.77841,3.32302,3.25943,2.07889,3.88293
2016-01-01,4.58819,3.57234,3.96727,1.63122,4.58264
2021-01-01,4.95639,3.79291,4.01335,1.42021,4.27008
