,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.1085,0.0,0.08057,0.11411,0.08618
1966-01-01,0.11443,0.0,0.12884,0.10963,0.12404
1971-01-01,0.11836,0.0,0.16329,0.10474,0.14966
1976-01-01,0.1204,0.0,0.1912,0.09387,0.16466
1981-01-01,0.13498,0.0,0.17551,0.09309,0.13361
1986-01-01,0.12653,0.0,0.15005,0.08547,0.10899
1991-01-01,0.11714,0.0,0.10615,0.08483,0.07384
1996-01-01,0.10526,0.0,0.06782,0.08012,0.04268
2001-01-01,0.08939,0.0,0.06975,0.06907,0.04943
2006-01-01,0.09446,0.0,0.04948,0.06749,0.02251
2011-01-01,0.10961,0.0,0.09526,0.05514,0.04078
2016-01-01,0.09436,0.0,0.10641,0.05241,0.06445
2021-01-01,0.10344,0.00145,0.11431,0.05701,0.06933
