,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.14005,0.00267,0.03532,0.17374,0.07168
1966-01-01,0.24724,0.00349,0.13814,0.18138,0.07578
1971-01-01,0.3206,0.00274,0.18124,0.2022,0.06558
1976-01-01,0.34735,0.00212,0.3206,0.21993,0.1953
1981-01-01,0.33944,0.00173,0.33464,0.16813,0.16506
1986-01-01,0.35096,0.00177,0.31483,0.18286,0.1485
1991-01-01,0.34874,0.00161,0.31254,0.18897,0.15438
1996-01-01,0.3838,0.00154,0.39588,0.26429,0.27792
2001-01-01,0.35744,0.00141,0.37729,0.25578,0.27704
2006-01-01,0.40833,0.00136,0.33527,0.2959,0.2242
2011-01-01,0.39875,0.00124,0.39586,0.23683,0.23518
2016-01-01,0.49792,0.00133,0.58289,0.26411,0.3504
2021-01-01,0.39095,0.00116,0.70933,0.26443,0.58397
