,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.2231,0.0,4.55803,2.52846,3.86339
1966-01-01,3.54489,0.0,6.06476,2.03258,4.55244
1971-01-01,3.07657,0.0,6.16523,1.62486,4.71352
1976-01-01,3.29907,0.0,5.61148,1.896,4.2084
1981-01-01,3.29023,0.0,6.30446,1.78443,4.79866
1986-01-01,2.86983,0.0,6.21483,1.69927,5.04426
1991-01-01,2.64099,0.0,6.43357,1.62792,5.4205
1996-01-01,3.58029,0.0,7.40267,1.51696,5.33934
2001-01-01,3.49057,0.0,7.5596,1.66438,5.73341
2006-01-01,3.57111,0.0,6.50233,1.54774,4.47896
2011-01-01,3.38354,0.0,6.32489,1.11293,4.05428
2016-01-01,3.75717,0.0,16.77846,0.95033,13.97162
2021-01-01,3.73471,0.0,18.30181,0.84167,15.40877
