,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.02192,0.00324,0.01371,0.01877,0.0138
1966-01-01,0.02167,0.00429,0.02656,0.0161,0.02528
1971-01-01,0.01824,0.00388,0.02441,0.01461,0.02466
1976-01-01,0.02197,0.00299,0.03935,0.01478,0.03515
1981-01-01,0.02217,0.003,0.03083,0.01356,0.02523
1986-01-01,0.02195,0.00291,0.02292,0.01251,0.01639
1991-01-01,0.01615,0.00295,0.01386,0.00956,0.01021
1996-01-01,0.01605,0.00278,0.0099,0.01032,0.00695
2001-01-01,0.01307,0.00253,0.01021,0.00869,0.00836
2006-01-01,0.01626,0.00241,0.00809,0.00772,0.00197
2011-01-01,0.01462,0.00222,0.01479,0.00569,0.00809
2016-01-01,0.01352,0.00218,0.01793,0.00557,0.01216
2021-01-01,0.01177,0.00276,0.01551,0.00381,0.0103
