,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,8.07259,0.42517,3.932,10.55158,6.83616
1966-01-01,8.22248,0.5714,5.9583,11.22867,9.5359
1971-01-01,9.15545,0.51278,7.14381,11.08409,9.58524
1976-01-01,9.15131,0.40241,8.91062,10.89897,11.06069
1981-01-01,10.01857,0.4122,10.52317,11.31596,12.23276
1986-01-01,10.02392,0.40828,10.17982,10.82946,11.39364
1991-01-01,10.69392,0.40912,7.9131,11.38361,9.01191
1996-01-01,10.49779,0.39705,5.26319,11.83316,6.99562
2001-01-01,9.48999,0.36241,5.97483,14.80611,11.65337
2006-01-01,13.42996,0.35133,4.65993,16.12874,7.71004
2011-01-01,14.17365,0.31561,8.91249,14.18107,9.23553
2016-01-01,14.90869,0.3225,11.94364,16.79648,14.15392
2021-01-01,16.22293,0.33529,12.27705,19.38446,15.77389
