,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.84129,0.05988,0.46435,0.87014,0.55309
1966-01-01,0.88221,0.07888,0.71934,0.86823,0.78424
1971-01-01,0.91876,0.07451,0.86582,0.84399,0.86558
1976-01-01,0.94849,0.05907,1.09607,0.82813,1.03478
1981-01-01,0.99263,0.07281,1.13277,0.83967,1.05261
1986-01-01,0.93539,0.07399,1.004,0.74372,0.88631
1991-01-01,0.91621,0.07872,0.75156,0.73449,0.64856
1996-01-01,0.89069,0.0782,0.49448,0.7664,0.44839
2001-01-01,0.80462,0.07563,0.56552,0.83406,0.67059
2006-01-01,1.06363,0.07628,0.43503,0.87691,0.32459
2011-01-01,1.07471,0.07227,0.7951,0.77277,0.56543
2016-01-01,1.10132,0.07507,1.02037,0.82855,0.82267
2021-01-01,1.12303,0.08073,0.98124,0.85486,0.79381
