,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,8.13564,0.18469,4.00629,10.06703,6.12237
1966-01-01,8.38958,0.24618,6.06923,10.66857,8.59441
1971-01-01,9.33739,0.21719,7.32544,10.58234,8.78758
1976-01-01,9.33778,0.17045,9.19759,10.42277,10.45303
1981-01-01,10.19087,0.17457,10.73924,10.89624,11.61918
1986-01-01,9.96904,0.17269,10.26073,10.21293,10.67731
1991-01-01,10.69093,0.17278,7.96111,10.77341,8.21637
1996-01-01,10.5168,0.16737,5.28856,11.36046,6.29959
2001-01-01,9.5203,0.15295,6.03337,14.35909,11.02511
2006-01-01,13.52109,0.14756,4.7156,15.67417,7.01625
2011-01-01,14.35136,0.13228,9.05905,13.85302,8.69299
2016-01-01,15.00276,0.13468,12.04688,16.26737,13.44618
2021-01-01,16.00592,0.15051,12.12442,18.2328,14.50182
