,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.00571,0.03157,0.01958,0.01643,0.06187
1966-01-01,0.00742,0.04348,0.02162,0.01812,0.0758
1971-01-01,0.00996,0.02915,0.01383,0.02409,0.05711
1976-01-01,0.01,0.02236,0.01675,0.03867,0.06778
1981-01-01,0.01446,0.02315,0.01628,0.05891,0.08389
1986-01-01,0.02066,0.02192,0.028,0.0818,0.11106
1991-01-01,0.03541,0.02108,0.03406,0.1043,0.12402
1996-01-01,0.04214,0.01926,0.04755,0.13034,0.15502
2001-01-01,0.03247,0.0167,0.05256,0.09159,0.12838
2006-01-01,0.04269,0.01561,0.04838,0.10887,0.13016
2011-01-01,0.02786,0.01441,0.03563,0.01129,0.03347
2016-01-01,0.04401,0.01477,0.11258,0.02476,0.10809
2021-01-01,0.02007,0.01264,0.11369,0.05928,0.16554
