,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.18416,0.0,2.05505,3.48475,2.35563
1966-01-01,3.51711,0.0,3.22192,3.47276,3.17757
1971-01-01,3.73846,0.0,4.18319,3.50618,3.95091
1976-01-01,4.14398,0.0,4.806,3.25102,3.91304
1981-01-01,4.32795,0.0,5.0721,3.1395,3.88365
1986-01-01,3.83664,0.0,4.27349,2.79544,3.2323
1991-01-01,3.76248,0.0,3.20676,2.81108,2.25537
1996-01-01,3.41603,0.0,1.94894,2.58028,1.11319
2001-01-01,3.39606,0.0,2.40367,2.61502,1.62263
2006-01-01,4.3418,0.0,1.81758,2.41852,-0.1057
2011-01-01,4.68512,0.0,3.39901,2.01301,0.72689
2016-01-01,4.60717,0.0,4.25399,1.92911,1.57593
2021-01-01,4.60679,0.0,4.03237,1.68833,1.11391
