,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.0,5.57201,0.0,0.0,5.57201
1966-01-01,0.0,7.38247,0.0,0.0,7.38247
1971-01-01,0.0,6.6823,0.0,0.0,6.6823
1976-01-01,0.0,5.14027,0.0,0.0,5.14027
1981-01-01,0.0,5.16663,0.0,0.0,5.16663
1986-01-01,0.0,5.00425,0.0,0.0,5.00425
1991-01-01,0.0,5.07531,0.0,0.0,5.07531
1996-01-01,0.0,4.78014,0.0,0.0,4.78014
2001-01-01,0.0,4.35851,0.0,0.0,4.35851
2006-01-01,0.0,4.15569,0.0,0.0,4.15569
2011-01-01,0.0,3.8295,0.0,0.0,3.8295
2016-01-01,0.0,3.75781,0.0,0.0,3.75781
2021-01-01,0.0,3.59923,0.0,0.0,3.59923
