,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.37311,0.00632,0.55713,0.48369,0.67403
1966-01-01,0.33314,0.00847,0.69976,0.43955,0.81464
1971-01-01,0.29458,0.00769,0.73656,0.39042,0.84009
1976-01-01,0.30453,0.00676,0.64244,0.36436,0.70902
1981-01-01,0.30883,0.00759,0.65068,0.37789,0.72734
1986-01-01,0.25334,0.00797,0.60589,0.39022,0.75074
1991-01-01,0.24085,0.00835,0.65783,0.41092,0.83626
1996-01-01,0.29746,0.00811,0.71178,0.38322,0.80565
2001-01-01,0.2951,0.00772,0.733,0.44478,0.89041
2006-01-01,0.28213,0.00751,0.65402,0.45953,0.83893
2011-01-01,0.28603,0.00716,0.59819,0.36762,0.68693
2016-01-01,0.27173,0.00723,1.55923,0.21421,1.50894
2021-01-01,0.20748,0.00347,1.38912,0.34427,1.52939
