,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.0,1.39559,0.0,0.0,1.39559
1966-01-01,0.0,1.70034,0.0,0.0,1.70034
1971-01-01,0.0,1.63784,0.0,0.0,1.63784
1976-01-01,0.0,0.83003,0.0,0.0,0.83003
1981-01-01,0.0,5.59366,0.0,0.0,5.59366
1986-01-01,0.0,5.05629,0.0,0.0,5.05629
1991-01-01,0.0,5.10979,0.0,0.0,5.10979
1996-01-01,0.0,4.88237,0.0,0.0,4.88237
2001-01-01,0.0,4.51669,0.0,0.0,4.51669
2006-01-01,0.0,4.19974,0.0,0.0,4.19974
2011-01-01,0.0,4.04199,0.0,0.0,4.04199
2016-01-01,0.0,4.07463,0.0,0.0,4.07463
2021-01-01,0.0,3.35443,0.0,0.0,3.35443
