,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,9.10528,0.07929,4.71262,10.59984,6.28647
1966-01-01,9.16958,0.11734,6.99013,9.92987,7.86776
1971-01-01,8.91863,0.24071,7.8964,8.0892,7.30768
1976-01-01,9.2584,0.21398,9.7174,7.09822,7.77119
1981-01-01,9.86504,0.26285,10.65453,6.9291,7.98144
1986-01-01,8.5852,0.37894,8.83815,5.42206,6.05395
1991-01-01,7.79372,0.48918,6.1465,4.84331,3.68528
1996-01-01,7.58533,0.53092,4.03109,4.67107,1.64775
2001-01-01,6.44458,0.55744,4.38685,4.48088,2.98059
2006-01-01,8.04148,0.64616,3.13048,3.80614,-0.4587
2011-01-01,7.88678,0.66476,5.55111,3.34527,1.67437
2016-01-01,7.70735,0.71466,6.83299,2.77202,2.61233
2021-01-01,8.32009,0.48896,6.93787,2.5036,1.61033
