,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.53878,0.73149,2.32745,5.69389,4.21405
1966-01-01,4.60513,1.03489,3.47232,5.85246,5.75454
1971-01-01,4.58443,0.91034,3.91597,4.9938,5.23568
1976-01-01,4.46917,0.6963,4.72043,4.46169,5.40925
1981-01-01,4.95756,0.7214,5.35528,4.40044,5.51955
1986-01-01,4.60078,0.71238,4.57234,4.19503,4.87897
1991-01-01,4.52436,0.73315,3.44015,4.17215,3.8211
1996-01-01,4.46476,0.71665,2.31677,4.24602,2.81468
2001-01-01,3.82237,0.71812,2.54568,4.03724,3.47866
2006-01-01,5.11791,0.69038,1.87381,3.69529,1.14158
2011-01-01,5.14099,0.67466,3.42842,2.89287,1.85496
2016-01-01,4.99352,0.70102,4.25886,2.67049,2.63685
2021-01-01,5.49949,1.05399,4.53786,2.899,2.99137
