,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.16639,0.07042,2.68898,4.5597,3.1527
1966-01-01,4.60204,0.09637,4.2158,4.54401,4.25414
1971-01-01,4.89167,0.09068,5.47359,4.58774,5.26034
1976-01-01,5.42228,0.06812,6.28852,4.25387,5.18823
1981-01-01,5.663,0.07049,6.63671,4.10795,5.15214
1986-01-01,5.02014,0.07163,5.59175,3.65776,4.301
1991-01-01,4.9231,0.07872,4.19596,3.67823,3.02981
1996-01-01,4.46979,0.07727,2.55014,3.37623,1.53385
2001-01-01,4.44365,0.07748,3.14514,3.42168,2.20065
2006-01-01,5.68114,0.0761,2.37826,3.16457,-0.06221
2011-01-01,6.13036,0.071,4.44751,2.63396,1.02212
2016-01-01,6.02835,0.07401,5.56624,2.52418,2.13608
2021-01-01,5.5302,0.11205,4.84064,2.02675,1.44924
