,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,1e-04,0.01276,0.00027,0.00051,0.01344
1966-01-01,1e-04,0.01801,0.00023,0.00058,0.01873
1971-01-01,1e-04,0.0132,0.00024,0.00066,0.014
1976-01-01,0.00015,0.01047,0.0004,0.00051,0.01123
1981-01-01,0.00019,0.01051,0.00031,0.00059,0.01123
1986-01-01,0.0003,0.01004,0.0005,0.00088,0.01112
1991-01-01,0.00041,0.00958,0.00083,0.00096,0.01096
1996-01-01,0.00068,0.0087,0.00065,0.00103,0.0097
2001-01-01,0.00035,0.00751,0.00064,0.0005,0.0083
2006-01-01,0.00045,0.00688,0.00042,0.00065,0.0075
2011-01-01,0.00014,0.00654,0.00023,7e-05,0.0067
2016-01-01,0.00035,0.00672,0.00105,3e-05,0.00745
2021-01-01,0.00013,0.00592,0.00064,0.00039,0.00683
