,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,2.23478,0.15772,1.44339,2.26719,1.63351
1966-01-01,2.355,0.19356,2.27371,2.1701,2.28236
1971-01-01,2.41677,0.20229,2.95461,2.12054,2.86066
1976-01-01,2.65751,0.14953,3.40516,2.04452,2.9417
1981-01-01,2.81121,0.16097,3.46439,1.99626,2.81041
1986-01-01,2.54058,0.16631,2.92035,1.85695,2.40303
1991-01-01,2.41444,0.18481,2.19311,1.84098,1.80445
1996-01-01,2.32109,0.1826,1.45064,1.80518,1.11732
2001-01-01,2.10494,0.17129,1.61987,1.72925,1.41546
2006-01-01,2.60117,0.17263,1.23402,1.64989,0.45537
2011-01-01,2.57332,0.15903,2.19189,1.37375,1.15135
2016-01-01,2.50473,0.16408,2.66903,1.27332,1.60171
2021-01-01,2.3593,0.17982,2.43565,1.20618,1.46234
