,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.75421,0.14621,0.21337,0.73836,0.34373
1966-01-01,0.95961,0.20797,0.32035,0.8401,0.40881
1971-01-01,0.90323,0.20499,0.2683,0.74416,0.31421
1976-01-01,0.93622,0.213,0.23797,0.77271,0.28746
1981-01-01,0.89732,0.25714,0.33116,1.03426,0.72524
1986-01-01,0.7958,0.25801,0.43205,0.94899,0.84325
1991-01-01,0.84657,0.30211,0.32014,1.1184,0.89408
1996-01-01,0.80586,0.34264,0.27291,1.03797,0.84766
2001-01-01,0.86897,0.34492,0.23847,1.25423,0.96864
2006-01-01,0.80699,0.34606,0.1017,1.27512,0.91589
2011-01-01,0.87926,0.33608,0.20051,1.1704,0.82773
2016-01-01,0.96764,0.35871,0.15538,1.21734,0.76379
2021-01-01,0.53251,0.40504,0.1447,0.86816,0.88539
