,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,4.97602,0.61947,2.52182,5.82922,3.9945
1966-01-01,5.11961,1.09569,3.86866,5.9652,5.80995
1971-01-01,4.91683,1.15098,4.1815,5.11008,5.52573
1976-01-01,4.92344,1.02296,5.15512,4.82112,6.07575
1981-01-01,5.40309,1.16181,5.865,4.63379,6.25751
1986-01-01,4.9833,1.21446,5.03884,4.53477,5.80477
1991-01-01,4.99442,1.34208,3.87356,4.54085,4.76207
1996-01-01,4.82821,1.3719,2.54715,3.9251,3.01594
2001-01-01,4.16292,1.39823,2.77599,4.02753,4.03883
2006-01-01,5.49477,1.53305,2.03602,4.06525,2.13955
2011-01-01,5.39667,1.60626,3.69296,3.65459,3.55714
2016-01-01,5.00756,1.75504,4.33952,3.62696,4.71397
2021-01-01,6.1122,1.9449,5.14848,4.09376,5.07493
