,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.00158,0.00366,0.00097,0.00107,0.00412
1966-01-01,0.00138,0.00459,0.00176,0.00094,0.0059
1971-01-01,0.00102,0.00415,0.00136,0.00069,0.00518
1976-01-01,0.00136,0.00252,0.0025,0.00078,0.00444
1981-01-01,0.00142,0.01084,0.00234,0.00072,0.01248
1986-01-01,0.00139,0.0113,0.00175,0.00064,0.0123
1991-01-01,0.00122,0.01039,0.00109,0.00063,0.01089
1996-01-01,0.00103,0.00959,0.00066,0.00053,0.00974
2001-01-01,0.00092,0.00683,0.00076,0.00046,0.00713
2006-01-01,0.00098,0.00654,0.00058,0.00036,0.00649
2011-01-01,0.00076,0.00522,0.00099,0.00024,0.00569
2016-01-01,0.00066,0.00528,0.00095,0.00029,0.00587
2021-01-01,0.00074,0.00675,0.00105,0.00047,0.00753
