,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.09308,0.00207,0.02574,0.07263,0.00737
1966-01-01,0.13735,0.00368,0.05994,0.10075,0.02702
1971-01-01,0.11731,0.00705,0.05398,0.06819,0.0119
1976-01-01,0.15709,0.00629,0.05971,0.09475,0.00366
1981-01-01,0.19764,0.00755,0.09159,0.11999,0.0215
1986-01-01,0.17241,0.00725,0.12082,0.10021,0.05587
1991-01-01,0.2132,0.00722,0.08856,0.13527,0.01785
1996-01-01,0.24302,0.00746,0.08744,0.15469,0.00657
2001-01-01,0.23158,0.00684,0.08065,0.17494,0.03085
2006-01-01,0.24535,0.00617,0.03387,0.18966,-0.01565
2011-01-01,0.23719,0.00542,0.05698,0.14873,-0.02606
2016-01-01,0.23863,0.00524,0.04524,0.15016,-0.03799
2021-01-01,0.18281,0.00502,0.05415,0.14672,0.02309
