,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.04442,0.00544,0.01229,0.03466,0.00797
1966-01-01,0.06555,0.00967,0.02861,0.04809,0.02081
1971-01-01,0.05599,0.01851,0.02576,0.03254,0.02083
1976-01-01,0.07497,0.01652,0.0285,0.04522,0.01526
1981-01-01,0.09433,0.01984,0.04371,0.05727,0.0265
1986-01-01,0.08229,0.01904,0.05766,0.04783,0.04225
1991-01-01,0.10176,0.01898,0.04227,0.06456,0.02406
1996-01-01,0.11599,0.01959,0.04173,0.07383,0.01917
2001-01-01,0.11052,0.01798,0.03849,0.08349,0.02944
2006-01-01,0.1171,0.01622,0.01617,0.09052,0.0058
2011-01-01,0.11321,0.01424,0.02719,0.07099,-0.00078
2016-01-01,0.11389,0.01376,0.02159,0.07167,-0.00687
2021-01-01,0.10446,0.01441,0.03094,0.08384,0.02474
