,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.42986,0.38193,2.00172,3.89479,2.84859
1966-01-01,3.44552,0.46177,3.04182,3.70924,3.76731
1971-01-01,3.43149,0.39953,3.43038,3.59138,3.9898
1976-01-01,3.60562,0.30964,4.15235,3.32758,4.18396
1981-01-01,3.94576,1.56429,4.1848,3.19976,5.0031
1986-01-01,3.66962,0.28376,3.5909,2.84039,3.04542
1991-01-01,3.739,0.28365,2.7827,2.9288,2.25614
1996-01-01,3.67567,0.27548,1.80733,2.79116,1.1983
2001-01-01,3.44904,0.25344,2.20106,2.79116,1.79662
2006-01-01,4.69833,0.24347,1.71062,2.79454,0.05029
2011-01-01,5.02513,0.22063,3.13291,2.50451,0.83291
2016-01-01,5.23538,0.22511,4.17126,2.39627,1.55726
2021-01-01,6.06676,0.19094,4.60131,2.36791,1.09341
