,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.6061,0.0194,0.1419,0.56078,0.11598
1966-01-01,1.20812,0.02442,0.67514,0.59361,0.08505
1971-01-01,1.49078,0.0193,0.69896,0.61625,-0.15628
1976-01-01,1.60742,0.01368,1.29748,0.68779,0.39153
1981-01-01,1.76367,0.01407,1.66895,0.59295,0.5123
1986-01-01,2.02373,0.01329,1.98466,0.6133,0.58751
1991-01-01,2.16132,0.01223,1.92836,0.67017,0.44944
1996-01-01,2.3609,0.01142,2.28731,0.81801,0.75584
2001-01-01,2.08644,0.01045,2.04504,0.88804,0.85709
2006-01-01,2.5118,0.00939,1.81296,1.02154,0.33209
2011-01-01,2.29021,0.0085,2.09918,0.76233,0.57981
2016-01-01,2.8525,0.00859,3.207,0.7365,1.09959
2021-01-01,2.25544,0.00838,3.65489,0.71326,2.12111
