,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.33303,0.0087,0.26488,0.4951,0.43565
1966-01-01,0.29965,0.01143,0.33305,0.47681,0.52163
1971-01-01,0.22589,0.01031,0.32445,0.37147,0.48035
1976-01-01,0.23169,0.00844,0.33702,0.37786,0.49162
1981-01-01,0.24321,0.00932,0.23528,0.34036,0.34175
1986-01-01,0.18887,0.00927,0.18637,0.32346,0.33023
1991-01-01,0.16972,0.00916,0.21832,0.33305,0.39082
1996-01-01,0.2575,0.00867,0.24211,0.30553,0.29881
2001-01-01,0.16268,0.00821,0.22967,0.19863,0.27383
2006-01-01,0.18493,0.00771,0.20905,0.27425,0.30609
2011-01-01,0.14646,0.00685,0.16922,0.1964,0.22601
2016-01-01,0.10413,0.00683,0.36109,0.28861,0.5524
2021-01-01,0.10939,0.00541,0.44466,0.28907,0.62975
